rank,candidate_id,testcase_class,source_file,reason
29,75,org.apache.activemq.bugs.AMQ5712Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ5712Test.java,
30,63,org.apache.activemq.bugs.AMQ5381Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ5381Test.java,
31,22,org.apache.activemq.bugs.AMQ5822Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ5822Test.java,
32,24,org.apache.activemq.bugs.AMQ2571Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ2571Test.java,
33,39,org.apache.activemq.junit.EmbeddedActiveMQBrokerXbeanUriConfigTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-tooling/activemq-junit/src/test/java/org/apache/activemq/junit/EmbeddedActiveMQBrokerXbeanUriConfigTest.java,
34,18,org.apache.activemq.MBeanTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-runtime-config/src/test/java/org/apache/activemq/MBeanTest.java,
35,50,org.apache.activemq.jmx.JmxCreateNCTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/jmx/JmxCreateNCTest.java,
36,83,org.apache.activemq.jmx.JmxAuditLogTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/jmx/JmxAuditLogTest.java,
37,93,org.apache.activemq.usecases.AMQ6446Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/AMQ6446Test.java,
38,74,org.apache.activemq.java.JavaNetworkConnectorTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-runtime-config/src/test/java/org/apache/activemq/java/JavaNetworkConnectorTest.java,
39,21,org.apache.activemq.usecases.TwoBrokerDurableForwardStaticRestartTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/TwoBrokerDurableForwardStaticRestartTest.java,
40,26,org.apache.activemq.usecases.BrokerQueueNetworkWithDisconnectTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/BrokerQueueNetworkWithDisconnectTest.java,
41,80,org.apache.activemq.network.NetworkLoopBackTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/network/NetworkLoopBackTest.java,
42,82,org.apache.activemq.network.CompressionOverNetworkTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/network/CompressionOverNetworkTest.java,
43,65,org.apache.activemq.security.JaasDualAuthenticationNetworkBridgeNioSslTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/security/JaasDualAuthenticationNetworkBridgeNioSslTest.java,
44,67,org.apache.activemq.store.jdbc.XACompletionTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/store/jdbc/XACompletionTest.java,
45,44,org.apache.activemq.broker.ft.DbRestartJDBCQueueMasterSlaveLeaseTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/broker/ft/DbRestartJDBCQueueMasterSlaveLeaseTest.java,
46,34,org.apache.activemq.console.QueryCommandTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-console/src/test/java/org/apache/activemq/console/QueryCommandTest.java,
47,105,org.apache.activemq.console.PurgeCommandTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-console/src/test/java/org/apache/activemq/console/PurgeCommandTest.java,
48,101,org.apache.activemq.tool.ReflectionUtilTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-tooling/activemq-perf-maven-plugin/src/test/java/org/apache/activemq/tool/ReflectionUtilTest.java,
49,108,org.apache.activemq.jndi.ActiveMQInitialContextFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/jndi/ActiveMQInitialContextFactoryTest.java,
50,109,org.apache.activemq.command.VisibilityTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-client/src/test/java/org/apache/activemq/command/VisibilityTest.java,
51,51,org.apache.activemq.command.ActiveMQMessageTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQMessageTest.java,
52,86,org.apache.activemq.command.ActiveMQMapMessageTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQMapMessageTest.java,
53,72,org.apache.activemq.selector.SelectorParserTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/selector/SelectorParserTest.java,
54,12,org.apache.activemq.thread.SchedulerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-client/src/test/java/org/apache/activemq/thread/SchedulerTest.java,
55,90,org.apache.activemq.broker.scheduler.memory.InMemeoryJmsSchedulerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/broker/scheduler/memory/InMemeoryJmsSchedulerTest.java,
56,43,org.apache.activemq.broker.scheduler.memory.InMemoryJobSchedulerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/broker/scheduler/memory/InMemoryJobSchedulerTest.java,
57,16,org.apache.bugs.AMQ1730Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-spring/src/test/java/org/apache/bugs/AMQ1730Test.java,
58,36,org.apache.activemq.spring.SpringTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-spring/src/test/java/org/apache/activemq/spring/SpringTest.java,
59,33,org.apache.activemq.spring.ParallelXATransactionTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-spring/src/test/java/org/apache/activemq/spring/ParallelXATransactionTest.java,
60,35,org.apache.activemq.ActiveMQXAConnectionTxInterruptTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQXAConnectionTxInterruptTest.java,
61,99,org.apache.activemq.JMSXAConsumerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JMSXAConsumerTest.java,
62,79,org.apache.activemq.ActiveMQXAConnectionFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQXAConnectionFactoryTest.java,
63,68,org.apache.activemq.ActiveMQXASslConnectionFactoryVmTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQXASslConnectionFactoryVmTest.java,
64,47,org.apache.activemq.ActiveMQXASslConnectionFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQXASslConnectionFactoryTest.java,
65,10,org.apache.activemq.ActiveMQSslConnectionFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQSslConnectionFactoryTest.java,
66,66,org.apache.activemq.ActiveMQConnectionFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQConnectionFactoryTest.java,
67,13,org.apache.activemq.JmsClientAckTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JmsClientAckTest.java,
68,14,org.apache.activemq.JmsQueueTransactionTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-broker/src/test/java/org/apache/activemq/JmsQueueTransactionTest.java,
69,7,org.apache.activemq.JmsTopicRequestReplyTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTopicRequestReplyTest.java,
70,102,org.apache.activemq.test.JmsTopicSendReceiveTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/test/JmsTopicSendReceiveTest.java,
71,53,org.apache.activemq.JmsTopicSendSameMessageTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTopicSendSameMessageTest.java,
72,23,org.apache.activemq.JmsTopicSendReceiveWithTwoConnectionsWithJMXTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTopicSendReceiveWithTwoConnectionsWithJMXTest.java,
73,103,org.apache.activemq.usecases.ChangeSentMessageTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/ChangeSentMessageTest.java,
74,107,org.apache.activemq.ConnectionCloseMultipleTimesConcurrentTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ConnectionCloseMultipleTimesConcurrentTest.java,
75,5,org.apache.activemq.jms.pool.PooledSessionNoPublisherCachingTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/PooledSessionNoPublisherCachingTest.java,
76,15,org.apache.activemq.jms.pool.PooledConnectionTempQueueTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/PooledConnectionTempQueueTest.java,
77,52,org.apache.activemq.jms.pool.bugs.AMQ4441Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/bugs/AMQ4441Test.java,
78,96,org.apache.activemq.jms.pool.PooledSessionExhaustionBlockTimeoutTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/PooledSessionExhaustionBlockTimeoutTest.java,
79,40,org.apache.activemq.openwire.OpenWireConnectionTimeoutTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/openwire/OpenWireConnectionTimeoutTest.java,
80,42,org.apache.activemq.transport.auto.AutoTransportConnectionsTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoTransportConnectionsTest.java,
81,76,org.apache.activemq.transport.auto.AutoTransportConfigureTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoTransportConfigureTest.java,
82,110,org.apache.activemq.transport.auto.AutoTransportBrokerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoTransportBrokerTest.java,
83,48,org.apache.activemq.transport.nio.NIOAsyncSendWithPFCTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOAsyncSendWithPFCTest.java,
84,49,org.apache.activemq.transport.failover.BadConnectionTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/failover/BadConnectionTest.java,
85,64,org.apache.activemq.transport.failover.FailoverUriTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/failover/FailoverUriTest.java,
86,19,org.apache.activemq.transport.failover.FailoverStateTrackingTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/failover/FailoverStateTrackingTest.java,
