时间,会话ID,模型,输入tokens,输出tokens,缓存读取,缓存创建,总计tokens,用户提示词,回复摘要
2026-07-14T05:45:16.825Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,7243,611,51712,0,7854,,
2026-07-14T05:45:40.400Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,510,765,59520,0,1275,,
2026-07-14T05:45:43.250Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,510,765,59520,0,1275,,
2026-07-14T05:45:44.478Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,510,765,59520,0,1275,,
2026-07-14T05:45:45.742Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,510,765,59520,0,1275,,
2026-07-14T05:45:47.102Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,510,765,59520,0,1275,,
2026-07-14T05:46:40.637Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,5249,20139,60672,0,25388,,
2026-07-14T05:50:04.916Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,17367,1376,86016,0,18743,,
2026-07-14T05:50:22.456Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,275,1178,104704,0,1453,,
2026-07-14T05:50:45.733Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,358,729,106112,0,1087,,
2026-07-14T14:27:23.492Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,26521,324,0,0,26845,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/hadoop_git_da0dbf1/da0dbf1/run_20260714_180419/dataset_variants/with_non_regression/model_prompt.txt in the IDE. This may or may,
2026-07-14T14:27:27.224Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:28.406Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:28.893Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:29.381Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:29.867Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:30.352Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:30.838Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:31.315Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:31.801Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:32.246Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:27:32.734Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,365,751,26496,0,1116,,
2026-07-14T14:28:17.246Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,44985,2609,27520,0,47594,,
2026-07-14T14:28:23.160Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,2692,2378,72448,0,5070,,
2026-07-14T14:30:05.121Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,165,1186,77440,0,1351,,
2026-07-14T14:30:38.797Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,246,1219,78720,0,1465,,
2026-07-14T14:30:52.809Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,1307,328,78848,0,1635,,
2026-07-14T14:31:18.069Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,325,177,80128,0,502,,
2026-07-14T14:31:39.438Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,1600,1349,80512,0,2949,,
2026-07-14T14:31:51.002Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,917,810,83456,0,1727,,
2026-07-14T14:32:13.345Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,349,678,85120,0,1027,,
2026-07-14T14:32:34.121Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,376,264,86144,0,640,,
2026-07-14T14:32:36.917Z,b8abc8b0-9e7e-4f37-97f4-ce6010e2fa17,deepseek-v4-pro,410,389,86400,0,799,,
2026-07-14T14:27:55.955Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,26521,302,0,0,26823,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/hadoop_git_da0dbf1/da0dbf1/run_20260714_180419/dataset_variants/without_non_regression/model_prompt.txt in the IDE. This may or ,
2026-07-14T14:27:59.711Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,347,306,26496,0,653,,
2026-07-14T14:28:00.868Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,347,306,26496,0,653,,
2026-07-14T14:28:01.353Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,347,306,26496,0,653,,
2026-07-14T14:28:01.835Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,347,306,26496,0,653,,
2026-07-14T14:28:10.792Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,16383,550,27136,0,16933,,
2026-07-14T14:28:12.361Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,16383,550,27136,0,16933,,
2026-07-14T14:28:12.940Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,16383,550,27136,0,16933,,
2026-07-14T14:28:27.212Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,9623,1037,44032,0,10660,,
2026-07-14T14:28:28.624Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,9623,1037,44032,0,10660,,
2026-07-14T14:29:14.410Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,2719,3368,54656,0,6087,,
2026-07-14T14:29:20.036Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,3419,6418,57344,0,9837,,
2026-07-14T14:30:37.330Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,412,195,67072,0,607,,
2026-07-14T14:30:40.203Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,135,267,67584,0,402,,
2026-07-14T14:30:45.010Z,8cb2b727-b12e-4b65-b9be-8a0473fe90b8,deepseek-v4-pro,1183,491,67968,0,1674,,
2026-07-14T06:14:53.996Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,26513,651,0,0,27164,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/karaf_git_49ca16e/49ca16e/run_20260714_111855/dataset_variants/with_non_regression/model_prompt.txt in the IDE. This may or may ,
2026-07-14T06:14:55.560Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,26513,651,0,0,27164,,
2026-07-14T06:14:56.139Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,26513,651,0,0,27164,,
2026-07-14T06:14:56.802Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,26513,651,0,0,27164,,
2026-07-14T06:14:57.432Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,26513,651,0,0,27164,,
2026-07-14T06:14:58.174Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,26513,651,0,0,27164,,
2026-07-14T06:14:58.872Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,26513,651,0,0,27164,,
2026-07-14T06:14:59.472Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,26513,651,0,0,27164,,
2026-07-14T06:15:24.189Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,24550,1872,27136,0,26422,,
2026-07-14T06:15:26.337Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,24550,1872,27136,0,26422,,
2026-07-14T06:15:27.127Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,24550,1872,27136,0,26422,,
2026-07-14T06:15:27.920Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,24550,1872,27136,0,26422,,
2026-07-14T06:15:28.775Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,24550,1872,27136,0,26422,,
2026-07-14T06:15:31.440Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,4496,556,53504,0,5052,,
2026-07-14T06:15:34.954Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,4496,556,53504,0,5052,,
2026-07-14T06:15:35.970Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,4496,556,53504,0,5052,,
2026-07-14T06:15:36.927Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,4496,556,53504,0,5052,,
2026-07-14T06:15:41.680Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,3195,611,58496,0,3806,,
2026-07-14T06:15:44.002Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,3195,611,58496,0,3806,,
2026-07-14T06:15:45.029Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,3195,611,58496,0,3806,,
2026-07-14T06:15:49.143Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,364,311,62208,0,675,,
2026-07-14T06:16:42.038Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,790,3906,62848,0,4696,,
2026-07-14T06:16:44.579Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,790,3906,62848,0,4696,,
2026-07-14T06:16:45.760Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,790,3906,62848,0,4696,,
2026-07-14T06:16:46.904Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,790,3906,62848,0,4696,,
2026-07-14T06:17:01.584Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,1361,14944,67456,0,16305,,
2026-07-14T06:19:13.300Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,132,1683,83712,0,1815,,
2026-07-14T06:19:35.615Z,077c582e-7e15-466a-81cb-c6e3a108fd0c,deepseek-v4-pro,228,611,85504,0,839,,
2026-07-14T06:15:21.475Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,26513,325,0,0,26838,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/karaf_git_49ca16e/49ca16e/run_20260714_111855/dataset_variants/without_non_regression/model_prompt.txt in the IDE. This may or m,
2026-07-14T06:15:22.739Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,26513,325,0,0,26838,,
2026-07-14T06:15:23.259Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,26513,325,0,0,26838,,
2026-07-14T06:15:44.071Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,11362,1471,26752,0,12833,,
2026-07-14T06:15:45.547Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,11362,1471,26752,0,12833,,
2026-07-14T06:15:46.056Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,11362,1471,26752,0,12833,,
2026-07-14T06:15:46.511Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,11362,1471,26752,0,12833,,
2026-07-14T06:15:51.876Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,6727,604,39552,0,7331,,
2026-07-14T06:15:53.575Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,6727,604,39552,0,7331,,
2026-07-14T06:15:54.191Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,6727,604,39552,0,7331,,
2026-07-14T06:15:54.889Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,6727,604,39552,0,7331,,
2026-07-14T06:17:50.805Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,14091,9630,46848,0,23721,,
2026-07-14T06:17:52.674Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,14091,9630,46848,0,23721,,
2026-07-14T06:17:53.464Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,14091,9630,46848,0,23721,,
2026-07-14T06:18:31.852Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,2717,17116,70528,0,19833,,
2026-07-14T06:20:31.121Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,204,530,90240,0,734,,
2026-07-14T06:20:52.511Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,189,598,90880,0,787,,
2026-07-14T06:21:29.305Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,1231,1039,91008,0,2270,,
2026-07-14T06:21:49.779Z,db3a1bed-54dc-472d-91e7-6aab497a842d,deepseek-v4-pro,2680,592,93184,0,3272,,
2026-07-14T06:17:28.339Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,26409,540,0,0,26949,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/tvm_git_e29cf4/e29cf4/run_20260714_111905/dataset_variants/with_non_regression/model_prompt.txt in the IDE. This may or may not ,
2026-07-14T06:17:29.695Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,26409,540,0,0,26949,,
2026-07-14T06:17:30.065Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,26409,540,0,0,26949,,
2026-07-14T06:17:30.468Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,26409,540,0,0,26949,,
2026-07-14T06:17:30.830Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,26409,540,0,0,26949,,
2026-07-14T06:18:12.534Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,22344,3422,26880,0,25766,,
2026-07-14T06:18:14.143Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,22344,3422,26880,0,25766,,
2026-07-14T06:18:14.758Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,22344,3422,26880,0,25766,,
2026-07-14T06:18:52.737Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,1987,3473,52608,0,5460,,
2026-07-14T06:18:58.245Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,1987,3473,52608,0,5460,,
2026-07-14T06:19:04.772Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,3865,542,54528,0,4407,,
2026-07-14T06:19:06.263Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,3865,542,54528,0,4407,,
2026-07-14T06:19:21.243Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,734,1297,58880,0,2031,,
2026-07-14T06:19:26.016Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,450,314,60800,0,764,,
2026-07-14T06:19:42.131Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,494,3192,61440,0,3686,,
2026-07-14T06:20:17.540Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,3383,403,61824,0,3786,,
2026-07-14T06:20:32.469Z,4e1ec723-b6e0-48ee-9194-c6399ad31acc,deepseek-v4-pro,391,457,65536,0,848,,
2026-07-14T06:17:52.112Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/tvm_git_e29cf4/e29cf4/run_20260714_111905/dataset_variants/without_non_regression/model_prompt.txt in the IDE. This may or may n,
2026-07-14T06:17:53.181Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:53.589Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:53.950Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:54.368Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:54.755Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:55.130Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:55.565Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:56.022Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:56.378Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:17:56.765Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,26409,753,0,0,27162,,
2026-07-14T06:19:17.389Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,32956,6540,27136,0,39496,,
2026-07-14T06:19:24.768Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,6625,546,60032,0,7171,,
2026-07-14T06:19:58.968Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,241,1151,67200,0,1392,,
2026-07-14T06:20:12.232Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,1289,8727,67328,0,10016,,
2026-07-14T06:21:25.456Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,488,243,77312,0,731,,
2026-07-14T06:21:27.257Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,488,243,77312,0,731,,
2026-07-14T06:21:29.925Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,1684,165,77952,0,1849,,
2026-07-14T06:21:34.875Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,614,308,79744,0,922,,
2026-07-14T06:21:37.346Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,66,378,80640,0,444,,
2026-07-14T06:22:35.691Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,2836,9038,81024,0,11874,<task-notification> <task-id>ad42598d10efb15b3</task-id> <tool-use-id>call_00_AYS455Bv7FSLn0YFeefO4691</tool-use-id> <output-file>/tmp/claude-1000/-home-lili/41efd00c-757c-4200-860f-02137a4fcc47/tasks,
2026-07-14T06:24:06.000Z,41efd00c-757c-4200-860f-02137a4fcc47,deepseek-v4-pro,383,493,92800,0,876,,
2026-07-14T14:30:04.457Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,26474,529,0,0,27003,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/tvm_git_35148ba/35148ba/run_20260714_180555/dataset_variants/with_non_regression/model_prompt.txt in the IDE. This may or may no,
2026-07-14T14:30:05.896Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,26474,529,0,0,27003,,
2026-07-14T14:30:06.342Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,26474,529,0,0,27003,,
2026-07-14T14:30:06.835Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,26474,529,0,0,27003,,
2026-07-14T14:30:07.275Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,26474,529,0,0,27003,,
2026-07-14T14:31:03.585Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,45230,3986,26880,0,49216,,
2026-07-14T14:31:05.121Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,45230,3986,26880,0,49216,,
2026-07-14T14:31:05.611Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,45230,3986,26880,0,49216,,
2026-07-14T14:31:07.868Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,262,156,76032,0,418,,
2026-07-14T14:31:17.484Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,16446,8471,76416,0,24917,,
2026-07-14T14:32:45.232Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,164,130,101248,0,294,,
2026-07-14T14:33:01.045Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,232,341,101504,0,573,,
2026-07-14T14:33:03.361Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,232,341,101504,0,573,,
2026-07-14T14:33:33.635Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,5599,2538,102016,0,8137,,
2026-07-14T14:33:44.495Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,2144,460,110080,0,2604,,
2026-07-14T14:34:14.535Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,416,140,112640,0,556,,
2026-07-14T14:34:17.652Z,7cdac3ca-788f-4456-9f51-4c71b51dc0d7,deepseek-v4-pro,62,534,113152,0,596,,
2026-07-14T14:30:31.006Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,26474,443,0,0,26917,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/tvm_git_35148ba/35148ba/run_20260714_180555/dataset_variants/without_non_regression/model_prompt.txt in the IDE. This may or may,
2026-07-14T14:30:32.569Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,26474,443,0,0,26917,,
2026-07-14T14:30:33.055Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,26474,443,0,0,26917,,
2026-07-14T14:30:33.512Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,26474,443,0,0,26917,,
